DATE_TIME,TEMPERATURE,HUMIDITY,WIND,PRECIPITATION
3/18/2021 5:00,7.08345,84.45,0,0
3/18/2021 6:00,7.64445,82.07661,0,0.01786
3/18/2021 7:00,8.0534,77.42966,0,0.03845
3/18/2021 8:00,8.09003,76.26931,0,0.11983
3/18/2021 9:00,8.0369,78.47883,0,0.0435
3/18/2021 10:00,8.49,76.94667,0,0.03412
3/18/2021 11:00,9.43683,71.687,1.90483,0
3/18/2021 12:00,9.96045,69.68114,2.81182,0
3/18/2021 13:00,9.49466,73.64414,2.99759,0
3/18/2021 14:00,9.37093,75.57,2.14185,0
3/18/2021 15:00,9.17672,76.06517,1.88586,0.00397
3/18/2021 16:00,8.68852,77.88185,1.76556,0.03241
3/18/2021 17:00,8.33467,79.52933,1.77133,0
3/18/2021 18:00,8.02772,80.50481,0.49815,0.08537
3/18/2021 19:00,7.77133,81.78033,0,0.1282
3/18/2021 20:00,7.95402,83.3,0,0.05611
3/18/2021 21:00,7.48181,86.8431,0,0.23069
3/18/2021 22:00,8.41502,88.19808,0,0.05923
3/18/2021 23:00,8.57283,85.46333,0,0.09983
3/19/2021 0:00,8.25056,89.064,0,0.2842
3/19/2021 1:00,8.51026,86.89211,0,0.03263
3/19/2021 2:00,8.28745,86.36364,0,0.11291
3/19/2021 3:00,8.44966,86.05345,0,0.07052
3/19/2021 4:00,8.5131,88.41034,0,0.03466
3/19/2021 5:00,9.03639,86.00656,1.72541,0
3/19/2021 6:00,9.46392,83.86275,2.01235,0
3/19/2021 7:00,10.23904,79.32269,1.59769,0
3/19/2021 8:00,10.53067,70.66267,2.25267,0
3/19/2021 9:00,10.36143,71.49893,2.23286,0
3/19/2021 10:00,10.40379,68.49862,1.89,0
3/19/2021 11:00,9.54862,72.84759,2.02241,0.2831
3/19/2021 12:00,9.528,76.3,2.2228,0.318
3/19/2021 13:00,8.66852,84.53593,2.40556,0.3763
3/19/2021 14:00,8.08426,90.7087,0.64826,0.59696
3/19/2021 15:00,7.60106,93.218,0,0.443
3/19/2021 16:00,7.54749,92.86545,0,0.35764
3/19/2021 17:00,7.2271,93.95932,0,0.41102
3/19/2021 18:00,7.12475,92.85577,0,0.36712
3/19/2021 19:00,7.24,91.61186,0,0.32915
3/19/2021 20:00,7.33737,91.5875,0,0.34125
